id,question,A,B,C,D,solution,category,difficulty
687,What is the process of a solid turning directly into vapor called?,Sublimation,Deposition,Evaporation,Condensation,A,general,easy
688,Which element is key in semiconductor devices?,Silicon,Iron,Copper,Lead,A,general,easy
689,What color does cobalt(II) chloride turn when hydrated?,Blue,Pink,Green,Yellow,B,general,easy
690,What type of radiation is used for sterilizing medical equipment?,Gamma,X-ray,Alpha,Infrared,A,general,easy
691,Which compound is used as quicklime in construction?,Calcium oxide,Calcium carbonate,Caustic soda,Slaked lime,A,general,easy
692,What is the pH of pure water at 25 °C?,7,0,14,1,A,general,easy
693,Which gas is a byproduct of anaerobic digestion (biogas)?,Methane,Carbon dioxide,Oxygen,Nitrogen,A,general,easy
694,What is the test for presence of starch in a solution?,Iodine turns blue,Litmus turns red,Phenolphthalein turns pink,Methyl orange turns red,A,general,easy
695,Which element is used in the filament of incandescent light bulbs?,Tungsten,Carbon,Iron,Nickel,A,general,easy
696,What is the chemical symbol for gold?,Au,Ag,Fe,Pt,A,general,easy
697,Which acid-base indicator is clear in acid and pink in base?,Phenolphthalein,Litmus,Bromothymol blue,Methyl orange,A,general,easy
698,What type of reaction is the decomposition of hydrogen peroxide?,Catalyzed decomposition,Synthesis,Neutralization,Oxidation,A,general,easy
699,What is the most abundant gas in Earth’s atmosphere?,Nitrogen,Oxygen,Argon,Carbon dioxide,A,general,easy
700,Which salt is commonly used to melt ice on roads?,Sodium chloride,Calcium chloride,Sodium bicarbonate,Potassium nitrate,A,general,easy
701,What is the name of the process that converts ammonia into nitrate by bacteria?,Nitrification,Denitrification,Ammonification,Nitrogen fixation,A,general,easy
702,Which laboratory tool is used to deliver small volumes of liquid precisely?,Micropipette,Burette,Beaker,Test tube,A,general,easy
703,What is the formula for calculating concentration as mass percent?,Mass solute/mass solution×100,Moles solute/volume solvent,Volume solute/volume solution×100,Mass solution/mass solute×100,A,general,easy
704,Which element is used in lead–acid batteries?,Lead,Calcium,Nickel,Zinc,A,general,easy
705,What is the common name for acetone?,Nail-polish remover,Paint thinner,Turpentine,Acetic acid,A,general,easy
706,Which reagent is used to test for unsaturation in organic compounds?,Bromine water,Tollen’s reagent,Fehling’s solution,Benedict’s reagent,A,general,easy
707,What is the chemical formula for gypsum?,CaSO₄·2H₂O,CaCO₃,Al(OH)₃,Fe₂O₃·H₂O,A,general,easy
708,Which metal is known for its antibacterial properties and turns green when oxidized?,Copper,Silver,Gold,Iron,A,general,easy
709,What is the term for the minimum energy needed to start a reaction?,Activation energy,Enthalpy,Entropy,Gibbs free energy,A,general,easy
710,What is the pH indicator that is yellow in acid and blue in base?,Bromothymol blue,Phenolphthalein,Litmus,Methyl orange,A,general,easy
711,Which alcohol is found in antiseptic hand sanitizers?,Isopropanol,Ethanol,Methanol,Butanol,A,general,easy
712,What is the chemical symbol for mercury?,Hg,Me,Mc,My,A,general,easy
713,Which gas dissolves in blood to form carbonic acid?,Carbon dioxide,Oxygen,Nitrogen,Helium,A,general,easy
714,Which element gives glass its greenish tint when impurities are present?,Iron,Chromium,Copper,Nickel,A,general,easy
715,What is the main component of window glass?,Silicon dioxide,Calcium carbonate,Sodium chloride,Aluminum oxide,A,general,easy
716,Which process involves the transfer of heat by fluid motion?,Convection,Conduction,Radiation,Evaporation,A,general,easy
717,Which gas is used to inflate aircraft tires because it maintains pressure better?,Nitrogen,Oxygen,Argon,Carbon dioxide,A,general,easy
718,Which element imparts pink flame? Lithium,Lithium,Strontium,Sodium,Potassium,B,general,easy
719,Which gas is used in soda dispensers for carbonation?,Carbon dioxide,Nitrogen,Oxygen,Helium,A,general,easy
720,What type of nuclear decay increases the atomic number by one?,Beta decay,Alpha decay,Gamma decay,Positron emission,A,general,easy
721,Which acid is used in car radiators as corrosion inhibitor? ,Boric acid,Phosphoric acid,Hydrochloric acid,Sulfuric acid,A,general,easy
722,What is the term for a mixture that appears uniform throughout? ,Homogeneous,Heterogeneous,Colloidal,Suspension,A,general,easy
723,Which element is most abundant by number of atoms in seawater?,Hydrogen,Oxygen,Sodium,Chlorine,A,general,easy
724,What is the chemical formula for bleach (sodium hypochlorite)? ,NaClO,NaClO₂,NaClO₃,NaClO₄,A,general,easy
725,Which gas is formed when hydrogen burns in oxygen? ,Water vapor,Carbon dioxide,Carbon monoxide,Nitrous oxide,A,general,easy
726,Which element is used in photovoltaic cells to convert sunlight to electricity? ,Silicon,Iron,Copper,Lead,A,general,easy
727,What is the chemical symbol for potassium? ,K,P,Pt,Po,A,general,easy
728,Which metal has the highest melting point?,Tungsten,Iron,Nickel,Gold,A,general,easy
729,Which bond angle is found in a water molecule?, 104.5°,109.5°,120°,180°,A,general,easy
730,What is the process of converting ethene to ethanol called? ,Hydration,Hydrogenation,Dehydration,Oxidation,A,general,easy
731,Which element is used as a catalyst in the Haber process? ,Iron,Nickel,Platinum,Copper,A,general,easy
732,What is the definition of pKb in base chemistry? ,Negative log of Kb,Positive log of Kb,Negative log of Ka,Positive log of Ka,A,general,easy
733,Which acid is commonly used to pickle steel? ,Phosphoric,Hydrochloric,Sulfuric,Nitric,A,general,easy
734,What is the molecular formula of benzene? ,C₆H₆,C₆H₁₂,C₆H₁₄,C₆H₅Cl,A,general,easy
735,Which element is essential for hemoglobin in blood? ,Iron,Copper,Zinc,Magnesium,A,general,easy
736,What is the name of the reaction where alkenes react with halogens? ,Halogenation,Hydrogenation,Hydration,Oxidation,A,general,easy
737,Which acid is used to digest food in the stomach? ,Hydrochloric,Sulfuric,Nitric,Acetic,A,general,easy
738,What is the primary component of antacid tablets? ,Calcium carbonate,Sodium bicarbonate,Magnesium sulfate,Potassium chloride,B,general,easy
739,Which gas law relates pressure and moles at constant T and V? ,Amontons’ law,Avogadro’s law,Boyle’s law,Charles’s law,B,general,easy
740,What is the term for a reaction that absorbs heat? ,Endothermic,Exothermic,Isothermic,Adiabatic,A,general,easy
741,Which element forms a protective oxide layer on aluminum? ,Oxygen,Nitrogen,Chlorine,Sulfur,A,general,easy
742,What is the chemical formula for rusting iron? ,Fe₂O₃,FeO,Fe₃O₄,Fe(OH)₃,A,general,easy
743,Which acid-base reaction uses phenolphthalein indicator? ,Strong acid–strong base,Strong acid–weak base,Weak acid–strong base,Weak acid–weak base,A,general,easy
744,What type of bond exists in elemental iodine (I₂)? ,Covalent,Metallic,Ionic,Hydrogen,A,general,easy
745,Which compound is commonly used as baking powder? ,Sodium bicarbonate,Sodium carbonate,Potassium bicarbonate,Calcium carbonate,A,general,easy
746,What is the term for a solution that cannot dissolve more solute? ,Saturated,Unsaturated,Supersaturated,Hypertonic,A,general,easy
747,Which gas is used to keep food packaging oxygen-free? ,Nitrogen,Carbon dioxide,Oxygen,Helium,A,general,easy
748,Which element is used in thermocouples for temperature measurement? ,Nickel,Chromel,Iron,Platinum,B,general,easy
749,What is the molar mass of calcium carbonate (CaCO₃)?,100.09 g/mol,84.01 g/mol,60.01 g/mol,50.05 g/mol,A,general ,medium
750,What is the empirical formula of a compound with 40% sulfur and 60% oxygen by mass?,SO,SO₂,SO₃,S₂O₃,C,general ,medium
751,Which law states that pressure and volume of a gas are inversely proportional at constant temperature?,Boyle’s law,Charles’s law,Avogadro’s law,Dalton’s law,A,general ,medium
752,What is the pH of a 0.01 M HCl solution?,1,2,3,4,A,general ,medium
753,"For the reaction N₂(g) + 3H₂(g) ↔ 2NH₃(g), what is the equilibrium constant expression (Kc)?",[NH₃]²/([N₂][H₂]³),[N₂][H₂]³/[NH₃]²,[NH₃]/([N₂][H₂]),[N₂]²/[NH₃]³,A,general ,medium
754,What is the pH of a 0.1 M acetic acid solution (Ka = 1.8×10⁻⁵)?,2.88,3.1,4.76,5.42,A,general ,medium
755,What is the oxidation state of manganese in KMnO₄?,6,7,4,2,B,general ,medium
756,Which species is the conjugate base of HSO₄⁻?,SO₄²⁻,H₂SO₄,OH⁻,SO₃²⁻,A,general ,medium
757,What is the molecular geometry of CH₄?,Tetrahedral,Trigonal planar,Linear,Bent,A,general ,medium
758,Which type of bonding is present in NaCl?,Ionic,Covalent,Metallic,Hydrogen,A,general ,medium
759,Which element has the highest electronegativity?,Fluorine,Oxygen,Chlorine,Nitrogen,A,general ,medium
760,Which element has a greater atomic radius: Na or K?,Na,K,Li,Mg,B,general ,medium
761,What are the products of complete combustion of hydrocarbons?,CO₂ and H₂O,CO and H₂,CH₄ and O₂,CO₂ only,A,general ,medium
762,What is the pOH of a solution with [OH⁻] = 1×10⁻³ M?,3,4,2,1,A,general ,medium
763,"In a galvanic cell, reduction occurs at which electrode?",Cathode,Anode,Salt bridge,Electrolyte,A,general ,medium
764,"For the reaction A ↔ B, if Kc = 10, the reaction favors:",Products,Reactants,Neither,Cannot determine,A,general ,medium
765,Which law allows the calculation of ΔH° using standard enthalpies of formation?,Hess’s law,Raoult’s law,Henry’s law,Le Chatelier’s principle,A,general ,medium
766,What functional group is present in ethanol?,Alcohol,Ether,Aldehyde,Ketone,A,general ,medium
767,Which type of orbital is dumbbell-shaped?,s,p,d,f,B,general ,medium
768,"According to Hund’s rule, electrons fill:",Degenerate orbitals singly before pairing,Lower energy orbitals first,Higher energy orbitals first,Orbitals in order of increasing spin,A,general ,medium
769,Which element has the electron configuration [Ne]3s¹?,Na,Mg,Al,Si,A,general ,medium
770,What volume does 1 mole of an ideal gas occupy at STP?,22.4 L,24.5 L,1 L,44.8 L,A,general ,medium
771,What is the Ksp expression for AgCl?,[Ag⁺][Cl⁻],[AgCl],[Ag⁺]²[Cl⁻],[Ag²⁺][Cl₂],A,general ,medium
772,Which salt produces a basic solution in water?,CH₃COONa,NH₄Cl,NaCl,KCl,A,general ,medium
773,Which of the following is a reducing agent?,H₂,O₂,Cl₂,NO₂,A,general ,medium
774,"In the titration of a strong acid with a strong base, the equivalence point pH is:",7,>7,<7,Depends on concentration,A,general ,medium
775,What explains the colors of many transition metal compounds?,d–d electronic transitions,Charge–transfer transitions,Vibrational transitions,Nuclear transitions,A,general ,medium
776,Which of these is a Lewis acid?,BF₃,NH₃,OH⁻,Cl⁻,A,general ,medium
777,Methyl chloride reacts with hydroxide ion by which mechanism?,SN₁,SN₂,E₁,E₂,B,general ,medium
778,What is the molarity of a solution containing 5 g NaOH in 500 mL?,0.25 M,0.125 M,0.5 M,1 M,A,general ,medium
779,Which intermolecular force is present in NH₃?,Hydrogen bonding,Dipole–dipole,London dispersion,Ionic,A,general ,medium
780,"If kb (boiling point elevation constant) is 0.5 °C/m and m = 2, what is ΔTb?",1°C,0.5°C,2°C,4°C,A,general ,medium
781,What is the osmotic pressure of a 0.1 M solution at 298 K? (R=0.082 L·atm/mol·K),2.44 atm,0.82 atm,1.23 atm,3.00 atm,A,general ,medium
782,"In first-order kinetics, the half-life is independent of:",Initial concentration,Rate constant,Temperature,Reaction order,A,general ,medium
783,Which gas deviates most from ideal behavior?,CO₂,H₂,He,CH₄,A,general ,medium
784,Which acid is the strongest?,HClO₄,H₂SO₄,HCl,HNO₃,A,general ,medium
785,Which base is the strongest?,CH₃NH₂,NH₃,N₂,H₂O,A,general ,medium
786,"What type of isomerism is shown by 1,2-dichloroethene?",Cis–trans,Structural,Optical,Conformational,A,general ,medium
